Location,Coordinates
"San Vicente del Caguan, Colombia","(2.1131213, -74.7697347)"
"Peoria, Illinois","(40.6938609, -89.5891008)"
"Bath, Pennsylvania","(40.726519, -75.3934911)"
"Off Livorno, Italy","(42.7902379, 10.3402239)"
"Off Padang, Indonesia","(-0.9247587, 100.3632561)"
"Vinnitsa, Russia",
"Near Penghu Island, Taiwan","(23.5585684, 119.6098859)"
"Near Hue, South Vietnam","(16.4381178, 107.5543933)"
"Saratov, Russia","(51.530018, 46.034683)"
"Raleigh, North Carolina","(35.7803977, -78.6390989)"
"Tikaka, Sudan",
"Chinnamanur, India","(9.8415861, 77.3849422)"
"Near Puerto Inca, Huanuco, Peru","(-9.3965671, -75.143911)"
"Near Chetumal, Mexico","(18.5081738, -88.297144)"
"Sierra de Atalayasa, Spain",
"Near Funza, Colombia","(4.7177471, -74.2031547)"
"Near Betania, Colombia","(5.7451779, -75.9768362)"
"Near Srbská Kamenice, Czech Republic","(50.8201997, 14.3524436)"
"Near Tegal, Indonesia","(-6.867334, 109.1378188)"
"Pha Khao, Laos","(20.5533518, 102.6061996)"
"Near Valledupar, Colombia","(10.4651733, -73.2529512)"
"Near Vientiane, Laos","(17.9640988, 102.6133707)"
"Near Al Fujayrah, United Arab Emirates","(25.6015129, 56.2741226)"
"Shamsam Mountains, South Yemen","(51.4950672, -0.1786613)"
"Near Ardinello di Amaseno, Italy","(41.4684989, 13.3356167)"
"Near Moyobamba, Peru","(-6.0347302, -76.9746773)"
"Nyot Mo, Laos","(15.336148, 106.700688)"
"Bratsk, USSR",
"Near Carini, Sicily, Italy","(38.131172, 13.1818847)"
Venezuela,"(8.0018709, -66.1109318)"
"Near Gia Dinh, South Vietnam","(10.8103017, 106.7576966)"
"Svetlogorsk, Russia","(54.9417552, 20.1550863)"
"Lobito, Angola","(-12.3506867, 13.5464318)"
"Near Helgoland, Germany","(54.1820608, 7.8876314)"
"Cruzeiro do Sul Acre, Brazil","(-7.6362478, -72.6691649)"
"Dulac, Louisiana","(29.3626635, -90.7045493)"
"Dallas/Ft. Worth, Texas","(32.8965194, -97.0465221)"
"Near Pleiku, Vietnam","(13.9715982, 108.0143597)"
"Near an Loc, South Vietnam","(18.8304438, 105.5943721)"
"Near New Delhi, India","(28.5558548, 77.2488354)"
"Near Pleiku, South Vietnam","(52.5398428, 13.4117863)"
"London Heathrow,  Staines, Surrey, England","(51.4451224, -0.5207111)"
"Ponce, Puerto Rico","(18.0668224, -66.6140412)"
"Appleton, Wisconsin","(44.2613967, -88.4069744)"
"Off Las Palmas, Canary Islands, Spain","(27.9580004, -15.6062305)"
"Near Grytoya, Norway","(68.9340283, 16.4915426)"
"Corfu Island, Greece","(39.591337, 19.8596189)"
"Villavicencio, Colombia","(4.1114594, -73.4967836)"
"Near Soc Trang, South Vietnam","(12.2774464, 109.1329582)"
"Near Konigs Wusterausen, East Germany","(51.3152262, 9.4785389)"
"Canaima, Venezuela","(10.5944288, -66.9730425)"
"Papua, New Guinea","(-5.5226203, 142.0871194)"
"Near Magnitogorsk, Russia","(53.4256867, 59.0507322)"
"Mt. Giluwe, Papua, New Guinea","(-5.5226203, 142.0871194)"
"Trinidad, Bolivia","(-14.8349438, -64.9044936)"
"Gondar, Ethiopia","(12.610368, 37.466766)"
"Near Dhulikhel, Nepal","(27.6176558, 85.5634955)"
"Sacramento, California","(38.5810606, -121.493895)"
"Near Ben Cat, South Vietnam","(52.5398428, 13.4117863)"
"Near Adler, USSR","(43.4253834, 39.9237036)"
"Kampot, Cambodia","(10.6314754, 104.132637)"
"Near San Fernando, Chile","(-34.583791, -70.989122)"
"Near Moscow, USSR","(55.7626272, 37.6111323)"
Off the Alaska coast,"(-28.0306361, 153.4034793)"
"Off Athens, Greece","(37.9755648, 23.7348324)"
"Tanna, Vanuatu","(-19.4857785, 169.3345014)"
"Near Noiretable, Loire, France","(45.817108, 3.7661111)"
"Poggiorsini, Italy","(40.917126, 16.254774)"
"Near My Tho, South Vietnam","(21.0296794, 105.7723594)"
"Near Plovdiv, Bulgaria","(42.5059843, 24.7086789)"
"Elkton, Kentucky","(36.8100425, -87.1541675)"
"Tenerife,  Canary Islands","(28.2935785, -16.6214471)"
"Near Rawalpindi, Pakistan","(33.6313371, 73.0732419)"
"Midway Airport, Chicago, Illinois","(41.7855141, -87.7517243)"
"Off St. Maarten off, Netherlands Antilles","(12.1845, -68.6607923)"
"Skaugum, Norway","(59.8545801, 10.4450346)"
"Everglades National Park, Florida","(25.3679443, -80.8783066)"
"Near Glasgow, Scotland","(55.861155, -4.2501687)"
"Perm, Russia","(58.014965, 56.246723)"
"Near Kyrenia, Cyprus","(35.3396291, 33.3205287)"
"Prague, Czechoslovakia",
"Morgan City, Louisiana","(29.6993748, -91.20677)"
"Cerro Horqueta, Panama","(8.8265094, -82.4456064)"
"Near Isma'iliya, Egypt","(30.6043775, 32.2770825)"
"Near Leningrad, Russia","(59.9606739, 30.1586551)"
"Semipalatinsk, Kazakhstan","(50.4067378, 80.2502824)"
"Near Nabire, Indonesia","(-3.360285, 135.5023653)"
"Moscow, USSR","(55.7626272, 37.6111323)"
"Near Nantes, France","(47.2186371, -1.5541362)"
"Hyderabad, India","(17.360589, 78.4740613)"
"Ben Me Thuot, South Vietnam","(52.5398428, 13.4117863)"
"Near Basel,  Switzerland","(47.5581077, 7.5878261)"
"Moffett AFB, California","(34.9119057, -117.8832412)"
"Bamiyan, Afghanistan","(34.75, 67.25)"
"Near Semipalatinsk, USSR","(50.4067378, 80.2502824)"
"Chita, Siberia, USSR","(56.5086361, 84.5184035)"
"Svay Rieng, Cambodia","(11.1950081, 105.7967967)"
"Near Rimouski, Prov. Quebec, Canada","(52.4760892, -71.8258668)"
"Sao Luis, Brazil","(-2.5295265, -44.2963942)"
"Goussainville, France","(49.0323168, 2.4733628)"
"Near Puerto Vallarta, Mexico","(20.6407176, -105.220306)"
"Near Shakhtyorsk, Russia","(49.1592435, 142.1070013)"
"Nnear Kuybyshev, Russia","(55.4454258, 78.3222294)"
"Paris, Orly Airport, France","(48.7295567, 2.3682566)"
"Off Papeete, Tahiti","(-17.5366464, -149.5561694)"
"Honolulu, HI","(21.304547, -157.855676)"
"Logan Airport, Boston, Massachusetts","(42.3631766, -71.0136401)"
"Near La  Coruña, Spain","(43.3709703, -8.3959425)"
"Don Don, Haiti","(-27.4867578, -59.0004677)"
"Baku, Azerbaijan, USSR",
"El Yopal, Colombia","(5.3356662, -72.3936931)"
"Near Huete, Spain","(40.143961, -2.6912644)"
"Thirty-five miles west of Los Angeles, California","(34.0416667, -118.444722)"
"King Cove, Alaska","(55.059662, -162.3114114)"
"Moganik, Yugoslavia",
"Natchitoches, Louisiana","(31.7606732, -93.0860209)"
"Rich Mountain, Arkansas","(36.4250721, -93.9293655)"
"Miritituba, Brazil","(-4.292912, -55.960461)"
"Magadan, Russia","(63.5515028, 154.014726)"
"Near  Domodedovo, Russia","(55.4368213, 37.7680693)"
"Guanabara Bay, Brazil","(-22.8169023, -43.1272201)"
"Boston,: Massachusetts","(42.3554334, -71.060511)"
"Near Albuquerque,  New Mexico","(35.0841034, -106.650985)"
"Near Quang-Ngai, South Vietnam","(52.5398428, 13.4117863)"
"Near Karacharovo, USSR","(55.7341945, 37.7476335)"
"Near Siagon, South Vietnam","(52.5398428, 13.4117863)"
"Near Tetouan, Morocco","(35.202941, -5.5510167)"
"Durban, South Africa","(-29.861825, 31.009909)"
"Johnstown, Pennsylvania","(40.3267407, -78.9219698)"
"Unduavi, Bolivia","(-16.3111834, -67.9093054)"
"Mukachevo, Ukraine","(48.4421119, 22.7185408)"
"Near Nevia, Colombia","(32.616195, -115.411154)"
"Cigorodo, Colombia",
"Izmir, Turkey","(38.23166, 27.02997)"
"Pago Pago, American Samoa","(-14.2754786, -170.7048298)"
"Near Honolulu, HI","(21.304547, -157.855676)"
"Near Souda, Crete","(35.4871175, 24.0659027)"
"Baltimore, Maryland","(39.2908816, -76.610759)"
"San Francisco de Moxos,  Bolivia","(-15.4100326, -65.3564919)"
"Near Ermenonville, France","(49.1258749, 2.6957344)"
"Bishop, California","(37.363679, -118.39524)"
"Francistown, Botswana","(-21.16636, 27.502515)"
"Grogak, Bali, Indonesia","(-8.5509257, 115.1245797)"
"Galveston, Texas","(29.3872254, -94.992736)"
"Banos, Ecuador","(-1.3319158, -78.2625285)"
"Springfield, Illinois","(39.7990175, -89.6439575)"
"Rankin Inlet, Canada","(62.8030269, -92.0868012)"
"Monte San Isidro,  Colombia","(5.5681836, -73.8968634)"
"Battambang, Khmer Republic",
"Umiat, Alaska","(69.3669444, -152.1441667)"
"Near Moc Hoa, Vietnam","(10.7576193, 106.0406781)"
"Mt. Apica, PQ, Canada","(38.1089678, -8.7869305)"
"Near Ouagadougou, Upper Volta","(12.3681873, -1.5270944)"
"Cali, Colombia","(3.4519988, -76.5325259)"
"Margarita Island, Venezuela","(11.0205596, -63.9073984)"
"Near Kisangani, Zaire","(0.5184021, 25.2057292)"
"Tandjung-karang, Indonesia",
"Ionian Sea , off Kefallinia, Greece","(38.2660322, 20.5373903)"
"Near Charlotte, North Carolina","(35.2272086, -80.8430827)"
"Phan Rang, South Vietnam","(52.5398428, 13.4117863)"
"Calapan, Philippines","(13.4145513, 121.179543)"
"Old Man's Camp, Alaska","(41.4036043, 2.1645801)"
"Pagosa Springs, Colorado","(37.2695661, -107.010816)"
"Near Surgut, Russia","(61.254032, 73.3964)"
"Soddu, Ethiopia","(8.9, 36.93333)"
"Near Berryville, Virginia","(39.1517548, -77.982525)"
"Bear Mountain,  Thiells, New York","(41.2067635, -74.01262)"
"Near Maskeliya, Sri Lanka","(6.833828, 80.5720627)"
"Near Old Harbors, Alaska","(54.7583333, -132.7166667)"
"Near Moc Hoa, South Vietnam","(19.8490002, 105.7633207)"
"Bukhara, Uzbekistan","(39.7675529, 64.4231326)"
"Maturin, Venezuela","(9.7422774, -63.1888854)"
"Tikal, Guatemala","(16.9069737, -89.9304772)"
"Near Nha Trang, Vietnam","(12.2340268, 109.1945904)"
"Near Doncello, Colombia","(1.6815919, -75.2844565)"
"Whittier, California","(33.9749136, -118.0338664)"
"Budapest, Hunary",
"Xam Neua, Laos","(20.4151514, 104.047364)"
"Istanbul, Turkey","(41.006381, 28.9758715)"
"Santo Domingo, Dominican Republic","(18.4801972, -69.942111)"
"Houston, Texas","(29.7589382, -95.3676974)"
"Souda, Crete","(35.4871175, 24.0659027)"
"Fairbanks, Alaska","(64.837845, -147.716675)"
"Pleiku, South Vietnam","(52.5398428, 13.4117863)"
"Near Barito, Argentina","(-34.9157207, -57.9361978)"
"Singa, Sudan","(13.1440522, 33.9283527)"
"Near Terney, Russia","(45.0504046, 136.6137293)"
"Near Quilcene, Washington","(47.8222945, -122.8751712)"
"Saigon, South Vietnam","(10.8103017, 106.7576966)"
"Near Sakon Nakhon, Thailand","(17.1651224, 104.1500731)"
"Pedro Alfonso, Brazil","(-26.8626936, -52.9899807)"
"JFK Airport, New York, New York","(40.6429479, -73.7793734)"
"Near Batumi, Georgia, USSR","(41.9551982, 43.5045324)"
"Near Immouzer, Morocco","(30.6775889, -9.4808672)"
"Off Amapala, Honduras","(13.292907, -87.6533563)"
"Bagdarin, Russia","(54.443378, 113.590469)"
"Krasnovodsk, USSR",
"Near Gambell, Alaska","(63.7757752, -171.7344628)"
"Leipzig-Halle, East Germany","(51.3152262, 9.4785389)"
"Near Bahar Dar, Ethiopia","(11.6099428, 37.3776192)"
"Near Palembang, Indonesia","(-2.9700595, 104.7397568)"
"Off Beirut, Lebanon","(33.9002633, 35.4846464)"
"Novgorod, Russia","(58.5209862, 31.2757862)"
"Cairns Airport, Queensland, Australia","(-16.8777892, 145.7515495)"
"Tomonoco, Bolivia",
"Near Sukhumi, Georgia, USSR","(41.9551982, 43.5045324)"
"Caoba, Guatemala","(17.0248606, -89.6752295)"
"Kharkov, Ukraine, USSR","(44.5991576, 33.4898472)"
"Near Bir Lahfan, Egypt",
"Hertfordshire, England","(51.8400523, -0.0978552)"
"Rollinsville, Colorado","(39.9170921, -105.5017521)"
"Near Al Qaysumah, Saudi Arabia","(28.3386637, 46.12358)"
"Mactan Island, Philippines","(10.2882756, 123.9723977)"
"Near San Borja, Bolivia","(-14.8582125, -66.7474736)"
"Near Loja, Ecuador","(-3.9832772, -79.3500988)"
"Chapeco, Brazil","(-27.0922364, -52.6166878)"
"Off Santa Maria, Colombia","(4.8208423, -73.2718839)"
"St. Croix, Virgin Islands","(17.729124, -64.7589156)"
"Sibiu, Romania","(45.7973912, 24.1519202)"
Southeastern Bolivia,"(41.7196785, -72.2068447)"
"Igiugig, Alaska","(59.3176195, -155.8708646)"
"Near Puerto Asis, Colombia","(0.4979751, -76.4951418)"
"Neuquen, Argentina","(-38.3695057, -69.832275)"
"Camuigan, Philippines",
"Near Cuneca, Spain",
"Chernigov, Ukraine, USSR","(44.5991576, 33.4898472)"
"Zamboanga, Philipines",
"Nacias Nguema, Equatorial Guinea","(1.6817998, 11.0234653)"
"Agana, Guam","(13.4738606, 144.7520557)"
"Off Kota Kinabalu, Malaysia","(5.9761035, 116.0714909)"
"Entebbe, Uganda","(0.0611715, 32.4698564)"
"Daiku, Burma",
"Bratislava, Czechoslovakia",
"Near Tehran, Iran","(35.6877195, 51.4396385)"
"Moron AFB, Spain
	
Moron AFB, Spain
	
Moron AFB, Spain",
"Andes Mountains, Ecuador","(11.4432962, 122.524724)"
"Ho Chi Minh City, Vietnam","(10.7763897, 106.7011391)"
"Near Thorney, England","(52.622174, -0.1068177)"
"Hawk Inlet, Alaska","(58.1258333, -134.7530556)"
"Lajes, Azores, Portugal","(38.7669312, -27.1031772)"
"Off Adler, Russia","(43.4253834, 39.9237036)"
"Near Gaj, Hrvatska, Yugoslavia",
"Karatepe Mountains, Turkey","(40.51, 38.18)"
"Near Alpena, Michigan","(45.0176181, -83.6670019)"
"Off Bridgetown, Barbados","(13.0977832, -59.6184184)"
"Santa Cruz, Bolivia","(-51.6219399, -69.2368353)"
"Near Petrolia, Brazil","(34.0129637, -98.232444)"
"Banjarmasin, Indonesia","(-3.3187496, 114.5925828)"
"Kozani, Greece","(40.3007259, 21.7883119)"
"Cape May, New Jersey","(39.1765386, -74.8012119)"
"Ust-Kut, Russia","(56.7810026, 105.7460255)"
"Kiev, USSR","(50.4507554, 30.5156729)"
"Nnear Yuzhno-Sakhalinsk, Russia","(46.9574273, 142.727438)"
"Near Trujillo, Peru","(-8.1116778, -79.0287742)"
"Near Alma Ata,  Kazakastan, USSR","(43.2363924, 76.9457275)"
"Terrace, BC, Canada","(54.5172715, -128.599548)"
"Kalvesta, Sweden","(59.3834721, 17.8540246)"
"Mineralnye Vody, Russia","(44.2107377, 43.134969)"
"Near Saglouc, Canada",
"Off Aden, Yemen","(12.789585, 45.028504)"
"Near Cascina, Italy","(43.6766738, 10.5492244)"
"Niamey, Niger","(13.5347128, 2.0126899)"
"Bainaha Valley, Indonesia","(36.7551604, 3.0246403)"
"Near Zhadanof, Russia",
"New Hope, Paulding County, Georgia","(33.9583581, -84.7892192)"
"SW of Bogota, Colombia","(4.5978421, -74.0751469)"
"Tapa AFB, Estonia",
"Near Jericho, Jordan","(31.855991, 35.4598851)"
"Beiruit, Lebanon",
"Near Lusaka, Zambia","(-15.4163395, 28.2818414)"
"Havana, Cuba","(23.1600822, -82.2926643)"
"Natal, Brazil","(-5.805398, -35.2080905)"
"Salto-Nueva Hesperides, Uruguay","(-31.4399904, -57.9868083)"
Off Wake Island,"(19.2969291, 166.6255924)"
"Saint Louis, Missouri","(38.6280278, -90.1910154)"
"Off Kirovograd, Ukraine","(48.5105805, 32.2656283)"
"Near Cuangar, Angola","(-17.6097686, 18.6223286)"
"Jima, Ethiopia","(6.9999025, 36.4974513)"
"Vitim, Russia","(56.6015917, 115.4158334)"
"Near Puerto Montt, Chile","(-41.471798, -72.9395915)"
"Near Yoro, Honduras","(15.2994474, -87.2916981)"
"Encino, California","(34.1591324, -118.5016166)"
"Kona, Hawaii","(19.6472213, -155.9966428)"
Off Hong Kong,"(22.350627, 114.1849161)"
"Near Cuenca, Ecuador","(-2.9003936, -79.0247868)"
"Mt. Iliamna, Alaska","(60.0321758, -153.091521)"
"Mt. Loi Hsam Hsao, Burma",
"Kuala Lumpur,  Malaysia","(3.1526589, 101.7022205)"
"Near Gillsburg, Mississippi","(31.0252102, -90.6552946)"
"Mindoro, Philippines","(12.86924, 121.1344851)"
"San Cristobal de las Casas, Mexico","(16.735377, -92.63873)"
"Near Funchal, Island of Madeira, Portugal","(32.7643748, -17.0945621)"
"Near Bariloche, Argentina","(-41.1334781, -71.3101474)"
"Near Beziers, France","(43.3426562, 3.2131307)"
"Near Al Bayda, Lebanon","(33.8869007, 35.4801019)"
"Straits of Johore, near Kampung Ladang, Malaysia","(1.3549199, 103.6274653)"
"Intracostal City, Louisiana","(29.8758335, -92.1287946)"
"Tarko-Saley, USSR",
"Hierro, Canary Islands","(28.9208136, -13.6704945)"
"Evansville, Indiana","(37.970495, -87.5715641)"
"Off Madeira, Portugal","(32.7517501, -16.9817487)"
"Vieques, Puerto Rico","(18.1215622, -65.457464)"
"Willemstad, Curacao, Netherlands Antilles","(12.1845, -68.6607923)"
"Near San Vincente, Colombia","(4.8474801, -75.534028)"
"Eirunepe, Brazil","(-6.6567654, -69.866161)"
"Near Artigas, Uruguay","(-30.6170756, -56.9373451)"
"Richland, Washington","(46.2804298, -119.275205)"
"Cranbrook, British Columbia, Canada","(49.5107477, -115.7672772)"
"Solvang, California","(34.5960774, -120.1381144)"
"LAX, Los Angeles, California","(33.9421675, -118.4213591)"
"Vrastsa, Bulgaria",
"Near Riverside, California","(33.9824949, -117.374238)"
"Okaraba, Burma",
"Pensacola, Florida","(30.421309, -87.2169149)"
"Pochinok, Russia","(54.404776, 32.4407898)"
"Saint John's, Newfoundland","(47.5490076, -52.7806361)"
"Off Bergen, Norway","(60.3943055, 5.3259192)"
"Sogamoso, Bolivia",
"Papun, Burma",
"Conakry, Guinea","(9.5170602, -13.6998434)"
"Coal Harbour, BC, Canada","(49.2903749, -123.1292813)"
"Near Kariba, Rhodesia (Zimbabwe)","(-17.2239935, 27.600645)"
"Wrangell, Alaska","(56.4706022, -132.3829431)"
"Whittier, AK","(60.7730556, -148.6838889)"
"Paranaque, Philippines","(14.5008116, 120.9915327)"
"Near Kuopio, Finland","(62.8924601, 27.6781839)"
"Near Mandalay, Myanmar","(21.9621047, 96.1103153)"
"Santiago de Chile, Chile","(-33.4377756, -70.6504502)"
"Kenai, Alaska","(60.560082, -151.2070094)"
"Off Bellona, Solomon Islands","(-12.1134266, 160.3170523)"
"Gulf of Sivash, USSR","(46.1687778, 34.80633)"
"Near Katunayake, Sri Lanka","(7.1450034, 79.8954684)"
"Off Marie Galante Island, West Indies","(22.2711925, 114.1793882)"
"Near Leh, India","(34.1642029, 77.5848133)"
"Near Rubio, Venezuela","(7.6951055, -72.3646525)"
"Hydaburg, Alaska","(55.2074734, -132.8276574)"
"Near Steamboat Springs, Coloado","(40.4848003, -106.831735)"
"Selvapiana, Italy","(44.7648702, 9.1733419)"
"Off Cinisi, Sicily, Italy","(38.1549428, 13.1098412)"
"Minsk, Russia","(55.8228734, 49.0506912)"
"Bechar, Algeria","(31.385726, -2.0115958)"
"Rodez, France","(44.3511408, 2.5728493)"
"125 miles ENE of Tokyo, Japan","(35.7197112, 139.7374243)"
"Near Agudos, Brazil","(-22.4719836, -48.9884476)"
"Near Kariba, Rhodesia","(-17.2239935, 27.600645)"
"Clarksburg, West Virginia","(39.2806451, -80.3445341)"
"Manakau Harbor, New Zealand","(-36.7429967, 174.7290508)"
"Barentu, Ethiopia",
"Gulfport, Mississippi","(30.3674198, -89.0928155)"
"Off Marina del Rey, California","(33.9776848, -118.448647)"
"Bejing, China","(40.190632, 116.412144)"
"Near Doha Airport, Qatar","(25.2722535, 51.5634207)"
"Luanda, Angola","(-8.8272699, 13.2439512)"
"Ste. Foy, PQ, Canada","(38.1089678, -8.7869305)"
"Off Avalon, California","(33.34221, -118.3272612)"
"Bullen Point, Alaska","(70.1831824, -146.8563082)"
"Chicago O'Hare, Illinois","(42.008121, -87.9336485)"
"Rockland, Maine","(44.1048327, -69.1091823)"
"Hyannis, Massachusetts","(41.6534847, -70.2823732)"
"Near Medan Airfield, Indonesia","(-7.4597812, 109.411644)"
"Bua, Fiji","(-16.6257985, 178.477433)"
"Off Sumburgh, Shetlands, Scotland","(59.8780367, -1.2867463)"
"Canton, Ohio","(40.7985464, -81.3749508)"
"Near Panvel, India","(19.0537946, 72.8926749)"
"Near Volgograd, Russia","(48.6975445, 44.5136113)"
"Near Enisseysk, USSR",
"Near Kirsanov, Russia","(52.654755, 42.72496)"
"Andema, Russia",
"Off Taipei, Taiwan","(25.0375198, 121.5636796)"
"Near Sarroch,  Italy","(39.0655592, 9.0108295)"
"Blink Horn Point, Canada","(50.4255501, -125.2283667)"
"Merced, California","(37.1641544, -120.7678602)"
"Porpoise Bay, British Columbia Canada","(49.5016062, -123.7604816)"
"Covington, Kentucky","(39.0831712, -84.5107548)"
"Lensk, Russia","(60.7145488, 114.9172123)"
"Near Chicago, Illinois","(41.8905385, -87.6356295)"
"Vologda, Russia","(60.0391461, 43.1215213)"
"Granger, Utah","(40.6939409, -111.9792507)"
"Near At Ta'if, Jeddah, Saudi Arabia","(21.5504432, 39.1742363)"
"Near Mt. Erebus, Ross Ice Shelf, Antarctica","(-77.5294129, 167.1493592)"
"San Andres Island, Colombia","(12.5375979, -81.7204155)"
"Cherskiy, Russia","(68.7427218, 161.3324435)"
"Apolo, Bolivia","(-14.7153938, -68.4176615)"
"Cerro Toledo Mountain, Colombia","(48.6843951, -97.8652374)"
"Near Puerto Esperanza, Peru","(-9.7722807, -70.7100759)"
"Menari, Papua New Guinea","(-9.1951517, 147.6227468)"
Haiti,"(19.1399952, -72.3570972)"
Over the Atlantic Ocean,"(-34.8329983, 19.9999395)"
"Shungnak, Alaska","(66.8880556, -157.1363889)"
"Elburz Mtns., near Tehran, Iran","(35.6877195, 51.4396385)"
"Mt. Cemonyet,  Indonesia",
"Near Mandalay, Burma","(21.9596834, 96.0948743)"
"Baracoa, Cuba","(20.3477869, -74.4968647)"
"Leeville, Louisiana","(29.2504529, -90.2108072)"
"Near Agra, India","(19.0888467, 72.9017384)"
"Near Warsaw, Poland","(52.2319581, 21.0067249)"
"Near Yenice, Turkey","(36.9744909, 35.0554921)"
"Off Macae, Brazil","(-22.2828305, -41.9649091)"
"Florianopolis, Brazil","(-27.5973002, -48.5496098)"
"Posht-i-Badam, Iran",
"Don Muang, Thailand","(13.914688, 100.5978685)"
"Near Yachiba, Bolivia",
"Near Matala, Angola","(-14.7383594, 15.0289306)"
"Near Dushanbe, Russia","(38.5591202, 68.8000094)"
"Valley, Nebraska","(41.5595723, -98.9805484)"
"Tyrrhenian Sea,  off Ustica, Italy","(38.7104559, 13.1912999)"
"Near Alma-Ata, Kazakhstan, USSR","(43.2363924, 76.9457275)"
"Cerro Lilio, Mexico","(14.1303236, 121.4358499)"
"Houma, Louisiana","(29.5957696, -90.7195348)"
"Nouadhibou, Mauretania","(20.9127045, -17.0503094)"
"Riyadh, Saudi Arabia","(23.333333, 45.333333)"
"Near Jakarta, Indonesia","(-6.1817, 106.8207194)"
